nickname,count
Queenie,1
Tigre,1
The Cuban Missile Crisis,1
The Little Warrior,1
Mellow Fellow,1
The Rebel,1
2 Quick,1
KO King,1
Skywalker,1
The Gladiator,1
Doomsday,1
Baby Monsta,1
The Gentleman,1
Sugafoot,1
Webster,1
The Butcher,1
Sagat,1
Lex Luthor,1
Captain Morocco,1
Shogun,1
The Dream,1
Chango,1
Young Gun,1
The Underground King,1
The Norwegian Nightmare,1
Mighty Mouse,1
The Killer,1
Sheetara,1
Brunao,1
Frankenstein,1
Lyoto,1
Puro Osso,1
Super Saiyan,1
Boroda,1
Astro Girl,1
The Italian Stallion,1
KLB,1
The Notorious,1
Abacus,1
The Russian Hammer,1
Argentine Dagger,1
Totoro,1
The Saint,1
El Panda,1
The Grizzly Bear,1
Hitman,1
Blindado,1
Boston Strong,1
Amandinha,1
Baby Face,1
Belinha,1
The Train,1
The Matrix,1
Nomad,1
The Ox Fighter,1
The Moroccan Devil,1
Black Country Banger,1
Boi,1
Kuya,1
Alpha Ginger,1
Undertaker,1
King Kong,1
Monstro,1
The Dominator,1
Raw Dawg,1
Aquaman,1
The Lion,1
Rated R,1
Denisa,1
Zhako,1
The Guitar Hero,1
The Baltic Gladiator,1
Fear The,1
The Pit,1
Maximus,1
X,1
Borz,1
Green Mask,1
Sexi Mexi,1
Street,1
The Prince,1
The Boss,1
Renegade,1
Lazy Boy,1
The Doctor,1
The Hanyak,1
Big Medicine,1
Luke,1
The Samoan Savage,1
Starboy,1
Mayhem,1
Rolls,1
The Monkey King,1
Bodybagz,1
Young Savage,1
Agent Orange,1
The Hobbit,1
Lil' Monster,1
The Kung Fu Warrior,1
The American Bad Boy,1
The Anomaly,1
The Royal Fighter,1
Kid Kvenbo,1
Big Rigg,1
Galaxy,1
New Mansa,1
The Colombian Warrior,1
Bullseye,1
The Genius,1
Lil Animal,1
El Jefe,1
The Turn,1
El Gallito,1
PrimeTime,1
The Fighting Hawaiian,1
Clutch,1
Semi the Jedi,1
Mugen,1
Nite Train,1
5 Star,1
The Heat,1
Lobo Solitario,1
The Brick,1
The Gun,1
Sweetness,1
Da Don,1
Black Wolf,1
The Great Drakolini,1
Manaboi,1
Megatron,1
The Thriller,1
Robocop,1
Sweetbread,1
KD,1
The Womanizer,1
Hillman,1
El Guero,1
Top Gun,1
Camchida,1
Mamba,1
The Bengal,1
Stilknocks,1
Walking Trouble,1
El Matador,1
The Black Samourai,1
Gamer,1
Black Jag,1
The Iron Pol,1
Coracao Valente,1
Buffa,1
Elevation,1
The Mountain,1
Glorinha,1
Pita,1
La Jaula,1
Vicious,1
Italian Gangster,1
Lil' Bovy,1
Shazam,1
Hammer,1
The Afro Samurai,1
Sampage,1
Sniper,1
El Tigre,1
Psycho,1
AK-47,1
Sui Generis,1
Conejo,1
The Dragon Girl,1
Mocambique,1
Cold Blooded,1
Josi,1
Beastboy,1
100,1
Cupcake,1
Baby Shark,1
Pressure,1
The Professional,1
The Renegade,1
The Dream Killer,1
El Magnifico,1
Tajik,1
C.J.,1
The Snow Leopard,1
Chidi Bang Bang,1
