R_fighter,B_fighter,title_bout,date,weight_class,Winner
Ovince Saint Preux,Jamahal Hill,False,2020-12-05,LightHeavyweight,Blue
Matt Wiman,Jordan Leavitt,False,2020-12-05,Lightweight,Blue
Jack Hermansson,Marvin Vettori,False,2020-12-05,Middleweight,Blue
Ashlee Evans-Smith,Norma Dumont,False,2020-11-28,WomenBantamweight,Blue
Jonathan Pearce,Kai Kamaka,False,2020-11-28,Featherweight,Red
Miguel Baeza,Takashi Sato,False,2020-11-28,Welterweight,Red
Josh Parisian,Parker Porter,False,2020-11-28,Heavyweight,Blue
Anthony Smith,Devin Clark,False,2020-11-28,LightHeavyweight,Red
Spike Carlyle,Bill Algeo,False,2020-11-28,Featherweight,Blue
Martin Day,Anderson Dos Santos,False,2020-11-28,Bantamweight,Blue
Luke Sanders,Nate Maness,False,2020-11-28,CatchWeight,Blue
Gina Mazany,Rachael Ostovich,False,2020-11-28,WomenFlyweight,Red
Su Mudaerji,Malcolm Gordon,False,2020-11-28,Flyweight,Red
Brandon Moreno,Brandon Royval,False,2020-11-21,Flyweight,Red
Joaquin Buckley,Jordan Wright,False,2020-11-21,Middleweight,Red
Katlyn Chookagian,Cynthia Calvillo,False,2020-11-21,WomenFlyweight,Red
Antonina Shevchenko,Ariane Lipski,False,2020-11-21,WomenFlyweight,Red
Valentina Shevchenko,Jennifer Maia,True,2020-11-21,WomenFlyweight,Red
Deiveson Figueiredo,Alex Perez,True,2020-11-21,Flyweight,Red
Mauricio Rua,Paul Craig,False,2020-11-21,LightHeavyweight,Blue
Mike Perry,Tim Means,False,2020-11-21,Welterweight,Blue
Alan Jouban,Jared Gooden,False,2020-11-21,Welterweight,Red
Daniel Rodriguez,Nicolas Dalby,False,2020-11-21,Welterweight,Blue
Louis Cosce,Sasha Palatnikov,False,2020-11-21,Welterweight,Blue
Kyle Daukaus,Dustin Stoltzfus,False,2020-11-21,Middleweight,Red
Ashley Yoder,Miranda Granger,False,2020-11-14,WomenStrawweight,Red
Kay Hansen,Cory McKenna,False,2020-11-14,WomenStrawweight,Blue
Randa Markos,Kanako Murata,False,2020-11-14,WomenStrawweight,Blue
Brendan Allen,Sean Strickland,False,2020-11-14,CatchWeight,Blue
Geraldo de Freitas,Tony Gravely,False,2020-11-14,Bantamweight,Blue
Alex Morono,Rhys McKee,False,2020-11-14,Welterweight,Red
Abdul Razak Alhassan,Khaos Williams,False,2020-11-14,Welterweight,Blue
Paul Felder,Rafael Dos Anjos,False,2020-11-14,Lightweight,Blue
Don'Tale Mayes,Roque Martinez,False,2020-11-14,Heavyweight,Red
Thiago Santos,Glover Teixeira,False,2020-11-07,LightHeavyweight,Blue
Andrei Arlovski,Tanner Boser,False,2020-11-07,Heavyweight,Red
Alexandr Romanov,Marcos Rogerio de Lima,False,2020-11-07,Heavyweight,Red
Claudia Gadelha,Yan Xiaonan,False,2020-11-07,WomenStrawweight,Blue
Darren Elkins,Eduardo Garagorri,False,2020-11-07,Featherweight,Red
Giga Chikadze,Jamey Simmons,False,2020-11-07,Featherweight,Red
Raoni Barcelos,Khalid Taha,False,2020-11-07,Bantamweight,Red
Trevin Giles,Bevon Lewis,False,2020-11-07,Middleweight,Red
Gustavo Lopez,Anthony Birchak,False,2020-11-07,Bantamweight,Red
Max Griffin,Ramiz Brahimaj,False,2020-11-07,Welterweight,Red
Chris Gruetzemacher,Alexander Hernandez,False,2020-10-31,Lightweight,Blue
Adrian Yanez,Victor Rodriguez,False,2020-10-31,Bantamweight,Red
