R_fighter,B_fighter,title_bout,date,weight_class,Winner
Paddy Holohan,Josh Sampo,False,2014-07-19,Flyweight,Red
Lucas Martins,Alex White,False,2014-07-16,Featherweight,Red
Rick Story,Leonardo Mafra,False,2014-07-16,Welterweight,Red
Jessamyn Duke,Leslie Smith,False,2014-07-16,WomenBantamweight,Blue
Donald Cerrone,Jim Miller,False,2014-07-16,Lightweight,Red
Edson Barboza,Evan Dunham,False,2014-07-16,Lightweight,Red
John Lineker,Alptekin Ozkilic,False,2014-07-16,Flyweight,Red
Gleison Tibau,Pat Healy,False,2014-07-16,Lightweight,Red
Justin Salas,Joe Proctor,False,2014-07-16,Lightweight,Blue
Yosdenis Cedeno,Jerrod Sanders,False,2014-07-16,Lightweight,Red
Hugo Viana,Aljamain Sterling,False,2014-07-16,Bantamweight,Blue
Claudia Gadelha,Tina Lahdemaki,False,2014-07-16,WomenStrawweight,Red
Dhiego Lima,Eddie Gordon,True,2014-07-06,Middleweight,Blue
Justin Scoggins,Dustin Ortiz,False,2014-07-06,Flyweight,Blue
Adriano Martins,Juan Manuel Puig,False,2014-07-06,Lightweight,Red
Jumabieke Tuerxun,Leandro Issa,False,2014-07-06,Bantamweight,Blue
Jesse Ronson,Kevin Lee,False,2014-07-06,Lightweight,Blue
Derrick Lewis,Guto Inocente,False,2014-07-06,Heavyweight,Red
Corey Anderson,Matt Van Buren,True,2014-07-06,LightHeavyweight,Red
Frankie Edgar,BJ Penn,False,2014-07-06,Featherweight,Red
Patrick Walsh,Daniel Spohn,False,2014-07-06,LightHeavyweight,Red
Robert Drysdale,Keith Berish,False,2014-07-06,LightHeavyweight,Draw
Sarah Moras,Alexis Dufresne,False,2014-07-06,CatchWeight,Red
Chris Camozzi,Bruno Santos,False,2014-07-05,Middleweight,Blue
Marcus Brimage,Russell Doane,False,2014-07-05,Bantamweight,Blue
Urijah Faber,Alex Caceres,False,2014-07-05,Bantamweight,Red
George Roop,Rob Font,False,2014-07-05,Bantamweight,Blue
Uriah Hall,Thiago Santos,False,2014-07-05,Middleweight,Red
Chris Weidman,Lyoto Machida,True,2014-07-05,Middleweight,Red
Ronda Rousey,Alexis Davis,True,2014-07-05,WomenBantamweight,Red
Kenny Robertson,Ildemar Alcantara,False,2014-07-05,Welterweight,Red
Luke Zachrich,Guilherme Vasconcelos,False,2014-07-05,Middleweight,Red
Kevin Casey,Bubba Bush,False,2014-07-05,Middleweight,Draw
Colton Smith,Diego Ferreira,False,2014-06-28,Lightweight,Blue
Johnny Bedford,Cody Gibson,False,2014-06-28,Bantamweight,Blue
Cub Swanson,Jeremy Stephens,False,2014-06-28,Featherweight,Red
Joe Ellenberger,James Moontasri,False,2014-06-28,Lightweight,Red
Cezar Ferreira,Andrew Craig,False,2014-06-28,Middleweight,Red
Ricardo Lamas,Hacran Dias,False,2014-06-28,Featherweight,Red
Kelvin Gastelum,Nicholas Musoke,False,2014-06-28,Welterweight,Red
Aleksei Oleinik,Anthony Hamilton,False,2014-06-28,Heavyweight,Red
Marcelo Guimaraes,Andy Enz,False,2014-06-28,Middleweight,Red
Ray Borg,Shane Howell,False,2014-06-28,Flyweight,Red
Clint Hester,Antonio Braga Neto,False,2014-06-28,Middleweight,Red
Jake Matthews,Dashon Johnson,False,2014-06-28,Lightweight,Red
Neil Magny,Rodrigo de Lima,False,2014-06-28,Welterweight,Red
Soa Palelei,Jared Rosholt,False,2014-06-28,Heavyweight,Blue
Richie Vaculik,Roldan Sangcha'an,False,2014-06-28,Flyweight,Red
James Te Huna,Nate Marquardt,False,2014-06-28,Middleweight,Blue
Hatsu Hioki,Charles Oliveira,False,2014-06-28,Featherweight,Blue
Chris Indich,Vik Grujic,False,2014-06-28,Welterweight,Blue
Robert Whittaker,Mike Rhodes,False,2014-06-28,Welterweight,Red
Dan Hooker,Ian Entwistle,False,2014-06-28,Featherweight,Red
Gian Villante,Sean O'Connell,False,2014-06-28,LightHeavyweight,Red
Rory MacDonald,Tyron Woodley,False,2014-06-14,Welterweight,Red
Demetrious Johnson,Ali Bagautinov,True,2014-06-14,Flyweight,Red
Ryan Bader,Rafael Cavalcante,False,2014-06-14,LightHeavyweight,Red
Andrei Arlovski,Brendan Schaub,False,2014-06-14,Heavyweight,Red
Ovince Saint Preux,Ryan Jimmo,False,2014-06-14,LightHeavyweight,Red
Valerie Letourneau,Elizabeth Phillips,False,2014-06-14,WomenBantamweight,Red
Yves Jabouin,Mike Easton,False,2014-06-14,Bantamweight,Red
Daniel Sarafian,Kiichi Kunimoto,False,2014-06-14,Welterweight,Blue
Roland Delorme,Michinori Tanaka,False,2014-06-14,Bantamweight,Blue
Jason Saggo,Josh Shockley,False,2014-06-14,Lightweight,Red
Kajan Johnson,Tae Hyun Bang,False,2014-06-14,Lightweight,Blue
John Dodson,John Moraga,False,2014-06-07,Flyweight,Red
Benson Henderson,Rustam Khabilov,False,2014-06-07,Lightweight,Red
Yves Edwards,Piotr Hallmann,False,2014-06-07,Lightweight,Blue
Diego Sanchez,Ross Pearson,False,2014-06-07,Lightweight,Red
Bobby Voelker,Lance Benoist,False,2014-06-07,Welterweight,Blue
Yaotzin Meza,Sergio Pettis,False,2014-06-07,Bantamweight,Blue
Erik Perez,Bryan Caraway,False,2014-06-07,Bantamweight,Blue
Rafael Dos Anjos,Jason High,False,2014-06-07,Lightweight,Red
Scott Jorgensen,Danny Martinez,False,2014-06-07,Flyweight,Red
Patrick Cummins,Roger Narvaez,False,2014-06-07,LightHeavyweight,Red
Jon Tuck,Jake Lindsey,False,2014-06-07,Lightweight,Red
Paulo Thiago,Gasan Umalatov,False,2014-05-31,Welterweight,Blue
Rony Jason,Robert Peralta,False,2014-05-31,Featherweight,Blue
Stipe Miocic,Fabio Maldonado,False,2014-05-31,Heavyweight,Red
Rodrigo Damm,Rashid Magomedov,False,2014-05-31,Lightweight,Blue
Marcio Alexandre Junior,Warlley Alves,True,2014-05-31,Middleweight,Blue
Demian Maia,Alexander Yakovlev,False,2014-05-31,Welterweight,Red
Vitor Miranda,Antonio Carlos Junior,True,2014-05-31,Heavyweight,Blue
Elias Silverio,Ernest Chavez,False,2014-05-31,Lightweight,Red
Pedro Munhoz,Matt Hobar,False,2014-05-31,Bantamweight,Red
Edimilson Souza,Mark Eddiva,False,2014-05-31,Featherweight,Red
Ricardo Abreu,Wagner Silva,False,2014-05-31,Middleweight,Red
Marcos Rogerio de Lima,Richardson Moreira,False,2014-05-31,Heavyweight,Red
Francis Carmont,CB Dollaway,False,2014-05-31,Middleweight,Blue
Nick Hein,Drew Dober,False,2014-05-31,Lightweight,Red
Vaughan Lee,Iuri Alcantara,False,2014-05-31,Bantamweight,Blue
Luke Barnatt,Sean Strickland,False,2014-05-31,Middleweight,Blue
Mark Munoz,Gegard Mousasi,False,2014-05-31,Middleweight,Blue
Tom Niinimaki,Niklas Backstrom,False,2014-05-31,Featherweight,Blue
Peter Sobotta,Pawel Pawlak,False,2014-05-31,Welterweight,Red
Magnus Cedenblad,Krzysztof Jotko,False,2014-05-31,Middleweight,Red
Andy Ogle,Maximo Blanco,False,2014-05-31,Featherweight,Blue
Viktor Pesta,Ruslan Magomedov,False,2014-05-31,Heavyweight,Blue
Michael Chiesa,Francisco Trinaldo,False,2014-05-24,Lightweight,Red
Daniel Cormier,Dan Henderson,False,2014-05-24,LightHeavyweight,Red
Tony Ferguson,Katsunori Kikuno,False,2014-05-24,Lightweight,Red
Takeya Mizugaki,Francisco Rivera,False,2014-05-24,Bantamweight,Red
Jamie Varner,James Krause,False,2014-05-24,Lightweight,Blue
Renan Barao,TJ Dillashaw,True,2014-05-24,Bantamweight,Blue
Robbie Lawler,Jake Ellenberger,False,2014-05-24,Welterweight,Red
Chris Holdsworth,Chico Camus,False,2014-05-24,Bantamweight,Red
Al Iaquinta,Mitch Clarke,False,2014-05-24,Lightweight,Blue
Anthony Njokuani,Vinc Pichel,False,2014-05-24,Lightweight,Blue
Sam Sicilia,Aaron Phillips,False,2014-05-24,Featherweight,Red
David Michaud,Li Jingliang,False,2014-05-24,Welterweight,Blue
Neil Magny,Tim Means,False,2014-05-10,Welterweight,Red
Matt Brown,Erick Silva,False,2014-05-10,Welterweight,Red
Soa Palelei,Ruan Potts,False,2014-05-10,Heavyweight,Red
Erik Koch,Daron Cruickshank,False,2014-05-10,Lightweight,Blue
Chris Cariaso,Louis Smolka,False,2014-05-10,Flyweight,Red
Kyoji Horiguchi,Darrell Montague,False,2014-05-10,Flyweight,Red
Constantinos Philippou,Lorenz Larkin,False,2014-05-10,Middleweight,Red
Ed Herman,Rafael Natal,False,2014-05-10,Middleweight,Red
Yan Cabral,Zak Cummings,False,2014-05-10,Welterweight,Blue
Eddie Wineland,Johnny Eduardo,False,2014-05-10,Bantamweight,Blue
Manvel Gamburyan,Nik Lentz,False,2014-05-10,Featherweight,Blue
Justin Salas,Ben Wall,False,2014-05-10,Lightweight,Red
Anthony Lapsley,Albert Tumenov,False,2014-05-10,Welterweight,Blue
Takanori Gomi,Isaac Vallie-Flagg,False,2014-04-26,Lightweight,Red
Joseph Benavidez,Tim Elliott,False,2014-04-26,Flyweight,Red
Jon Jones,Glover Teixeira,True,2014-04-26,LightHeavyweight,Red
Phil Davis,Anthony Johnson,False,2014-04-26,LightHeavyweight,Blue
Max Holloway,Andre Fili,False,2014-04-26,Featherweight,Red
Jessamyn Duke,Bethe Correia,False,2014-04-26,WomenBantamweight,Blue
Luke Rockhold,Tim Boetsch,False,2014-04-26,Middleweight,Red
Jim Miller,Yancy Medeiros,False,2014-04-26,Lightweight,Red
Danny Castillo,Charlie Brenneman,False,2014-04-26,Lightweight,Red
Chris Beal,Patrick Williams,False,2014-04-26,Bantamweight,Red
Thiago Alves,Seth Baczynski,False,2014-04-19,Welterweight,Red
Fabricio Werdum,Travis Browne,False,2014-04-19,Heavyweight,Red
Estevan Payan,Alex White,False,2014-04-19,Featherweight,Blue
Donald Cerrone,Edson Barboza,False,2014-04-19,Lightweight,Red
Jorge Masvidal,Pat Healy,False,2014-04-19,Lightweight,Red
Rafael Dos Anjos,Khabib Nurmagomedov,False,2014-04-19,Lightweight,Blue
Brad Tavares,Yoel Romero,False,2014-04-19,Middleweight,Blue
Miesha Tate,Liz Carmouche,False,2014-04-19,WomenBantamweight,Red
Derrick Lewis,Jack May,False,2014-04-19,Heavyweight,Red
Dustin Ortiz,Ray Borg,False,2014-04-19,Flyweight,Red
Mirsad Bektic,Chas Skelly,False,2014-04-19,Featherweight,Red
Jordan Mein,Hernani Perpetuo,False,2014-04-19,Welterweight,Red
Caio Magalhaes,Luke Zachrich,False,2014-04-19,Middleweight,Red
Ryan Jimmo,Sean O'Connell,False,2014-04-16,LightHeavyweight,Red
Chad Laprise,Olivier Aubin-Mercier,True,2014-04-16,Welterweight,Red
Patrick Cote,Kyle Noke,False,2014-04-16,Welterweight,Red
Michael Bisping,Tim Kennedy,False,2014-04-16,Middleweight,Blue
Sheldon Westcott,Elias Theodorou,True,2014-04-16,Middleweight,Blue
Dustin Poirier,Akira Corassani,False,2014-04-16,Featherweight,Red
Sarah Kaufman,Leslie Smith,False,2014-04-16,WomenBantamweight,Red
Sam Stout,KJ Noons,False,2014-04-16,Welterweight,Blue
George Roop,Dustin Kimura,False,2014-04-16,Bantamweight,Red
Mark Bocek,Mike de la Torre,False,2014-04-16,Lightweight,Red
Mitch Gagnon,Tim Gorman,False,2014-04-16,Bantamweight,Red
Nordine Taleb,Vik Grujic,False,2014-04-16,Middleweight,Red
Richard Walsh,Chris Indich,False,2014-04-16,Welterweight,Red
Ramsey Nijem,Beneil Dariush,False,2014-04-11,Lightweight,Red
Jared Rosholt,Daniel Omielanczuk,False,2014-04-11,Heavyweight,Red
Clay Guida,Tatsuya Kawajiri,False,2014-04-11,Featherweight,Red
Thales Leites,Trevor Smith,False,2014-04-11,Middleweight,Red
Rani Yahya,Johnny Bedford,False,2014-04-11,Bantamweight,Draw
Alan Omer,Jim Alers,False,2014-04-11,Featherweight,Blue
Antonio Rodrigo Nogueira,Roy Nelson,False,2014-04-11,Heavyweight,Blue
John Howard,Ryan LaFlare,False,2014-04-11,Welterweight,Blue
Cezar Ferreira,CB Dollaway,False,2014-03-23,Middleweight,Blue
Leonardo Santos,Norman Parke,False,2014-03-23,Lightweight,Draw
Ronny Markes,Thiago Santos,False,2014-03-23,Middleweight,Blue
Fabio Maldonado,Gian Villante,False,2014-03-23,LightHeavyweight,Red
Jussier Formiga,Scott Jorgensen,False,2014-03-23,Flyweight,Red
Rony Jason,Steven Siler,False,2014-03-23,Featherweight,Red
Mauricio Rua,Dan Henderson,False,2014-03-23,LightHeavyweight,Blue
Michel Prazeres,Mairbek Taisumov,False,2014-03-23,Lightweight,Red
Thiago Perpetuo,Kenny Robertson,False,2014-03-23,Welterweight,Blue
Godofredo Pepey,Noad Lahat,False,2014-03-23,Featherweight,Red
Francimar Barroso,Hans Stringer,False,2014-03-23,LightHeavyweight,Blue
Carlos Condit,Tyron Woodley,False,2014-03-15,Welterweight,Blue
Ovince Saint Preux,Nikita Krylov,False,2014-03-15,LightHeavyweight,Red
Kelvin Gastelum,Rick Story,False,2014-03-15,Welterweight,Red
Johny Hendricks,Robbie Lawler,True,2014-03-15,Welterweight,Red
Dennis Bermudez,Jimy Hettes,False,2014-03-15,Featherweight,Red
Raquel Pennington,Jessica Andrade,False,2014-03-15,WomenBantamweight,Blue
Diego Sanchez,Myles Jury,False,2014-03-15,Lightweight,Blue
Jake Shields,Hector Lombard,False,2014-03-15,Welterweight,Blue
Robert McDaniel,Sean Strickland,False,2014-03-15,Middleweight,Blue
Will Campuzano,Justin Scoggins,False,2014-03-15,Flyweight,Blue
Sean Spencer,Alex Garcia,False,2014-03-15,Welterweight,Blue
Daniel Pineda,Robert Whiteford,False,2014-03-15,Featherweight,Blue
Renee Forte,Francisco Trevino,False,2014-03-15,Lightweight,Blue
Luke Barnatt,Mats Nilsson,False,2014-03-08,Middleweight,Red
Alexander Gustafsson,Jimi Manuwa,False,2014-03-08,LightHeavyweight,Red
Brad Pickett,Neil Seery,False,2014-03-08,Flyweight,Red
Gunnar Nelson,Omari Akhmedov,False,2014-03-08,Welterweight,Red
Cyrille Diabate,Ilir Latifi,False,2014-03-08,LightHeavyweight,Blue
Brad Scott,Claudio Silva,False,2014-03-08,Middleweight,Blue
Igor Araujo,Danny Mitchell,False,2014-03-08,Welterweight,Red
Michael Johnson,Melvin Guillard,False,2014-03-08,Lightweight,Red
Phil Harris,Louis Gaudinot,False,2014-03-08,Flyweight,Draw
Albert Cheng,Anying Wang,False,2014-03-01,Welterweight,Blue
Hatsu Hioki,Ivan Menjivar,False,2014-03-01,Featherweight,Red
Sai Wang,Zhang Lipeng,True,2014-03-01,Welterweight,Blue
Kazuki Tokudome,Yui Chul Nam,False,2014-03-01,Lightweight,Blue
Dong Hyun Kim,John Hathaway,False,2014-03-01,Welterweight,Red
Jumabieke Tuerxun,Mark Eddiva,False,2014-03-01,Featherweight,Blue
Nam Phan,Vaughan Lee,False,2014-03-01,Bantamweight,Blue
Matt Mitrione,Shawn Jordan,False,2014-03-01,Heavyweight,Red
Cody Gibson,Aljamain Sterling,False,2014-02-22,Bantamweight,Blue
Alexis Davis,Jessica Eye,False,2014-02-22,WomenBantamweight,Red
Robert Whittaker,Stephen Thompson,False,2014-02-22,Welterweight,Blue
Raphael Assuncao,Pedro Munhoz,False,2014-02-22,Bantamweight,Red
Rory MacDonald,Demian Maia,False,2014-02-22,Welterweight,Red
Mike Pyle,TJ Waldburger,False,2014-02-22,Welterweight,Red
Daniel Cormier,Patrick Cummins,False,2014-02-22,LightHeavyweight,Red
Ronda Rousey,Sara McMann,True,2014-02-22,WomenBantamweight,Red
Rafaello Oliveira,Erik Koch,False,2014-02-22,Lightweight,Blue
Zach Makovsky,Josh Sampo,False,2014-02-22,Flyweight,Red
Ernest Chavez,Yosdenis Cedeno,False,2014-02-22,Lightweight,Red
Lyoto Machida,Gegard Mousasi,False,2014-02-15,Middleweight,Red
Erick Silva,Takenori Sato,False,2014-02-15,Welterweight,Red
Viscardi Andrade,Nicholas Musoke,False,2014-02-15,Welterweight,Blue
Rodrigo Damm,Ivan Jorge,False,2014-02-15,Lightweight,Red
Francisco Trinaldo,Jesse Ronson,False,2014-02-15,Lightweight,Red
Charles Oliveira,Andy Ogle,False,2014-02-15,Featherweight,Red
Jacare Souza,Francis Carmont,False,2014-02-15,Middleweight,Red
Cristiano Marcello,Joe Proctor,False,2014-02-15,Lightweight,Blue
Iuri Alcantara,Wilson Reis,False,2014-02-15,Bantamweight,Red
Ildemar Alcantara,Albert Tumenov,False,2014-02-15,Welterweight,Red
Felipe Arantes,Maximo Blanco,False,2014-02-15,Featherweight,Red
Douglas Silva de Andrade,Zubaira Tukhugov,False,2014-02-15,Featherweight,Blue
Renan Barao,Urijah Faber,True,2014-02-01,Bantamweight,Red
Chris Cariaso,Danny Martinez,False,2014-02-01,Flyweight,Red
Jamie Varner,Abel Trujillo,False,2014-02-01,Lightweight,Blue
Jose Aldo,Ricardo Lamas,True,2014-02-01,Featherweight,Red
John Lineker,Ali Bagautinov,False,2014-02-01,Flyweight,Blue
John Makdessi,Alan Patrick,False,2014-02-01,Lightweight,Blue
Frank Mir,Alistair Overeem,False,2014-02-01,Heavyweight,Blue
Nick Catone,Tom Watson,False,2014-02-01,Middleweight,Red
Clint Hester,Andy Enz,False,2014-02-01,Middleweight,Red
Al Iaquinta,Kevin Lee,False,2014-02-01,Lightweight,Red
Anthony Rocco Martin,Rashid Magomedov,False,2014-02-01,Lightweight,Blue
Neil Magny,Gasan Umalatov,False,2014-02-01,Welterweight,Red
Chico Camus,Yaotzin Meza,False,2014-01-25,Bantamweight,Draw
Eddie Wineland,Yves Jabouin,False,2014-01-25,Bantamweight,Red
Stipe Miocic,Gabriel Gonzaga,False,2014-01-25,Heavyweight,Red
Donald Cerrone,Adriano Martins,False,2014-01-25,Lightweight,Red
Benson Henderson,Josh Thomson,False,2014-01-25,Lightweight,Red
Ramiro Hernandez,Hugo Viana,False,2014-01-25,Bantamweight,Blue
Darren Elkins,Jeremy Stephens,False,2014-01-25,Featherweight,Blue
Alex Caceres,Sergio Pettis,False,2014-01-25,Bantamweight,Red
Daron Cruickshank,Mike Rio,False,2014-01-25,Lightweight,Red
George Sullivan,Mike Rhodes,False,2014-01-25,Welterweight,Red
Walt Harris,Nikita Krylov,False,2014-01-25,Heavyweight,Blue
Luke Rockhold,Constantinos Philippou,False,2014-01-15,Middleweight,Red
Isaac Vallie-Flagg,Elias Silverio,False,2014-01-15,Lightweight,Blue
John Moraga,Dustin Ortiz,False,2014-01-15,Flyweight,Red
TJ Dillashaw,Mike Easton,False,2014-01-15,Bantamweight,Red
Yoel Romero,Derek Brunson,False,2014-01-15,Middleweight,Red
Ramsey Nijem,Justin Edwards,False,2014-01-15,Lightweight,Red
Cole Miller,Sam Sicilia,False,2014-01-15,Featherweight,Red
Lorenz Larkin,Brad Tavares,False,2014-01-15,Middleweight,Blue
Vinc Pichel,Garett Whiteley,False,2014-01-15,Lightweight,Red
Alptekin Ozkilic,Louis Smolka,False,2014-01-15,Flyweight,Blue
Trevor Smith,Brian Houston,False,2014-01-15,Middleweight,Red
Charlie Brenneman,Beneil Dariush,False,2014-01-15,Lightweight,Blue
Mairbek Taisumov,Tae Hyun Bang,False,2014-01-04,Lightweight,Red
Kiichi Kunimoto,Luiz Dutra,False,2014-01-04,Welterweight,Red
Katsunori Kikuno,Quinn Mulhern,False,2014-01-04,Lightweight,Red
Royston Wee,Dave Galera,False,2014-01-04,Bantamweight,Red
Tarec Saffiedine,Hyun Gyu Lim,False,2014-01-04,Welterweight,Red
Tatsuya Kawajiri,Sean Soriano,False,2014-01-04,Featherweight,Red
Max Holloway,Will Chope,False,2014-01-04,Featherweight,Red
Kyung Ho Kang,Shunichi Shimizu,False,2014-01-04,Bantamweight,Red
Dustin Kimura,Jon Delos Reyes,False,2014-01-04,Bantamweight,Red
Leandro Issa,Russell Doane,False,2014-01-04,Bantamweight,Blue
Dustin Poirier,Diego Brandao,False,2013-12-28,Featherweight,Red
Chris Leben,Uriah Hall,False,2013-12-28,Middleweight,Blue
Josh Barnett,Travis Browne,False,2013-12-28,Heavyweight,Blue
Gleison Tibau,Michael Johnson,False,2013-12-28,Lightweight,Blue
Chris Weidman,Anderson Silva,True,2013-12-28,Middleweight,Red
Ronda Rousey,Miesha Tate,True,2013-12-28,WomenBantamweight,Red
Jim Miller,Fabricio Camoes,False,2013-12-28,Lightweight,Red
Dennis Siver,Manvel Gamburyan,False,2013-12-28,Featherweight,Draw
William Macario,Bobby Voelker,False,2013-12-28,Welterweight,Red
Robert Peralta,Estevan Payan,False,2013-12-28,Featherweight,Red
John Howard,Siyar Bahadurzada,False,2013-12-28,Welterweight,Red
Demetrious Johnson,Joseph Benavidez,True,2013-12-14,Flyweight,Red
Court McGee,Ryan LaFlare,False,2013-12-14,Welterweight,Blue
Danny Castillo,Edson Barboza,False,2013-12-14,Lightweight,Blue
Bobby Green,Pat Healy,False,2013-12-14,Lightweight,Red
Chad Mendes,Nik Lentz,False,2013-12-14,Featherweight,Red
Urijah Faber,Michael McDonald,False,2013-12-14,Bantamweight,Red
Scott Jorgensen,Zach Makovsky,False,2013-12-14,Flyweight,Blue
Joe Lauzon,Mac Danzig,False,2013-12-14,Lightweight,Red
Abel Trujillo,Roger Bowling,False,2013-12-14,Lightweight,Red
Sam Stout,Cody McKenzie,False,2013-12-14,Lightweight,Red
Darren Uyenoyama,Alptekin Ozkilic,False,2013-12-14,Flyweight,Blue
Nick Ring,Caio Magalhaes,False,2013-12-06,Middleweight,Blue
Pat Barry,Soa Palelei,False,2013-12-06,Heavyweight,Blue
Takeya Mizugaki,Nam Phan,False,2013-12-06,Bantamweight,Red
Dylan Andrews,Clint Hester,False,2013-12-06,Middleweight,Blue
Ryan Bader,Anthony Perosh,False,2013-12-06,LightHeavyweight,Red
Mark Hunt,Antonio Silva,False,2013-12-06,Heavyweight,Draw
Mauricio Rua,James Te Huna,False,2013-12-06,LightHeavyweight,Red
Julie Kedzie,Bethe Correia,False,2013-12-06,WomenBantamweight,Blue
Ben Wall,Alex Garcia,False,2013-12-06,Welterweight,Blue
Richie Vaculik,Justin Scoggins,False,2013-12-06,Flyweight,Blue
Bruno Santos,Krzysztof Jotko,False,2013-12-06,Middleweight,Blue
Akira Corassani,Maximo Blanco,False,2013-11-30,Featherweight,Red
Julianna Pena,Jessica Rakoczy,True,2013-11-30,WomenBantamweight,Red
Rani Yahya,Tom Niinimaki,False,2013-11-30,Featherweight,Blue
Gray Maynard,Nate Diaz,False,2013-11-30,Lightweight,Blue
Chris Holdsworth,Davey Grant,True,2013-11-30,Bantamweight,Red
Jessamyn Duke,Peggy Morgan,False,2013-11-30,WomenBantamweight,Red
Roxanne Modafferi,Raquel Pennington,False,2013-11-30,WomenBantamweight,Blue
Sean Spencer,Drew Dober,False,2013-11-30,Welterweight,Red
Josh Sampo,Ryan Benoit,False,2013-11-30,Flyweight,Red
Jared Rosholt,Walt Harris,False,2013-11-30,Heavyweight,Red
Josh Koscheck,Tyron Woodley,False,2013-11-16,Welterweight,Blue
Georges St-Pierre,Johny Hendricks,True,2013-11-16,Welterweight,Red
Rashad Evans,Chael Sonnen,False,2013-11-16,LightHeavyweight,Red
Tim Elliott,Ali Bagautinov,False,2013-11-16,Flyweight,Blue
Brian Ebersole,Rick Story,False,2013-11-16,Welterweight,Blue
Rory MacDonald,Robbie Lawler,False,2013-11-16,Welterweight,Blue
Ed Herman,Thales Leites,False,2013-11-16,Middleweight,Blue
Donald Cerrone,Evan Dunham,False,2013-11-16,Lightweight,Red
Jason High,Anthony Lapsley,False,2013-11-16,Welterweight,Red
Will Campuzano,Sergio Pettis,False,2013-11-16,Bantamweight,Blue
Erik Perez,Edwin Figueroa,False,2013-11-16,Bantamweight,Red
Cody Donovan,Gian Villante,False,2013-11-16,LightHeavyweight,Blue
Thiago Perpetuo,Omari Akhmedov,False,2013-11-09,Middleweight,Blue
Paulo Thiago,Brandon Thatch,False,2013-11-09,Welterweight,Blue
Cezar Ferreira,Daniel Sarafian,False,2013-11-09,Middleweight,Red
Rafael Cavalcante,Igor Pokrajac,False,2013-11-09,LightHeavyweight,Red
Rony Jason,Jeremy Stephens,False,2013-11-09,Featherweight,Blue
Vitor Belfort,Dan Henderson,False,2013-11-09,LightHeavyweight,Red
Santiago Ponzinibbio,Ryan LaFlare,False,2013-11-09,Welterweight,Blue
Thiago Tavares,Justin Salas,False,2013-11-09,Lightweight,Red
Godofredo Pepey,Sam Sicilia,False,2013-11-09,Featherweight,Blue
Adriano Martins,Daron Cruickshank,False,2013-11-09,Lightweight,Red
Jose Maria,Dustin Ortiz,False,2013-11-09,Flyweight,Blue
Liz Carmouche,Alexis Davis,False,2013-11-06,WomenBantamweight,Blue
Colton Smith,Michael Chiesa,False,2013-11-06,Lightweight,Blue
Tim Kennedy,Rafael Natal,False,2013-11-06,Middleweight,Red
Dennis Bermudez,Steven Siler,False,2013-11-06,Featherweight,Red
Bobby Green,James Krause,False,2013-11-06,Lightweight,Red
Jorge Masvidal,Rustam Khabilov,False,2013-11-06,Lightweight,Blue
Ronny Markes,Yoel Romero,False,2013-11-06,Middleweight,Blue
George Roop,Francisco Rivera,False,2013-11-06,Bantamweight,Blue
Derek Brunson,Brian Houston,False,2013-11-06,Middleweight,Red
Amanda Nunes,Germaine de Randamie,False,2013-11-06,WomenBantamweight,Red
Chris Camozzi,Lorenz Larkin,False,2013-11-06,Middleweight,Blue
Neil Magny,Seth Baczynski,False,2013-11-06,Welterweight,Blue
Yves Edwards,Yancy Medeiros,False,2013-11-06,Lightweight,Draw
Phil Harris,John Lineker,False,2013-10-26,Flyweight,Blue
Ross Pearson,Melvin Guillard,False,2013-10-26,Lightweight,Draw
Norman Parke,Jon Tuck,False,2013-10-26,Lightweight,Red
Lyoto Machida,Mark Munoz,False,2013-10-26,Middleweight,Red
Luke Barnatt,Andrew Craig,False,2013-10-26,Middleweight,Red
Al Iaquinta,Piotr Hallmann,False,2013-10-26,Lightweight,Red
Jimi Manuwa,Ryan Jimmo,False,2013-10-26,LightHeavyweight,Red
Alessio Sakara,Nicholas Musoke,False,2013-10-26,Middleweight,Blue
Jimy Hettes,Robert Whiteford,False,2013-10-26,Featherweight,Red
Andy Ogle,Cole Miller,False,2013-10-26,Featherweight,Blue
Brad Scott,Michael Kuiper,False,2013-10-26,Middleweight,Red
Rosi Sexton,Jessica Andrade,False,2013-10-26,WomenBantamweight,Blue
Gabriel Gonzaga,Shawn Jordan,False,2013-10-19,Heavyweight,Red
John Dodson,Darrell Montague,False,2013-10-19,Flyweight,Red
Sarah Kaufman,Jessica Eye,False,2013-10-19,WomenBantamweight,Draw
Gilbert Melendez,Diego Sanchez,False,2013-10-19,Lightweight,Red
Nate Marquardt,Hector Lombard,False,2013-10-19,Welterweight,Blue
Cain Velasquez,Junior Dos Santos,True,2013-10-19,Heavyweight,Red
Tim Boetsch,CB Dollaway,False,2013-10-19,Middleweight,Red
Daniel Cormier,Roy Nelson,False,2013-10-19,Heavyweight,Red
TJ Waldburger,Adlan Amagov,False,2013-10-19,Welterweight,Blue
Tony Ferguson,Mike Rio,False,2013-10-19,Lightweight,Red
Jeremy Larsen,Andre Fili,False,2013-10-19,Featherweight,Blue
Dustin Pague,Kyoji Horiguchi,False,2013-10-19,Bantamweight,Blue
George Sotiropoulos,KJ Noons,False,2013-10-19,Lightweight,Blue
Raphael Assuncao,TJ Dillashaw,False,2013-10-09,Bantamweight,Red
Fabio Maldonado,Joey Beltran,False,2013-10-09,LightHeavyweight,Red
