R_fighter,B_fighter,R_wins,R_draw,R_losses,B_wins,B_draw,B_losses
Dustin Jacoby,Justin Ledet,0,0,2,3,0,3
Cole Williams,Jason Witt,0,0,1,0,0,1
Miles Johns,Kevin Natividad,1,0,1,0,0,0
Jacob Malkoun,Phil Hawes,0,0,0,0,0,0
Alexander Volkov,Walt Harris,5,0,2,6,0,8
Magomed Ankalaev,Ion Cutelaba,4,0,1,4,0,4
Stefan Struve,Tai Tuivasa,13,0,10,3,0,3
Robert Whittaker,Jared Cannonier,12,0,3,6,0,4
Lauren Murphy,Liliya Shakirova,5,0,4,0,0,0
Khabib Nurmagomedov,Justin Gaethje,12,0,0,5,0,2
Nathaniel Wood,Casey Kenney,4,0,1,4,0,1
Joel Alvarez,Alexander Yakovlev,2,0,1,3,0,5
Liana Jojua,Miranda Maverick,1,0,1,0,0,0
Da-Un Jung,Sam Alvey,2,0,0,10,0,9
Alex Oliveira,Shavkat Rakhmonov,11,0,7,0,0,0
Katlyn Chookagian,Jessica Andrade,7,0,3,11,0,6
Thomas Almeida,Jonathan Martinez,5,0,3,3,0,2
Jimmy Crute,Modestas Bukauskas,3,0,1,1,0,0
Mateusz Gamrot,Guram Kutateladze,0,0,0,0,0,0
Junyong Park,John Phillips,1,0,1,1,0,4
Gillian Robertson,Poliana Botelho,5,0,2,3,0,1
Claudio Silva,James Krause,5,0,0,8,0,4
Brian Ortega,Chan Sung Jung,6,0,2,6,0,2
Gadzhimurad Antigulov,Maxim Grishin,2,0,3,0,0,1
Said Nurmagomedov,Mark Striegl,2,0,1,0,0,0
Jamie Mullarkey,Fares Ziam,0,0,1,0,0,1
Marlon Moraes,Cory Sandhagen,5,0,2,5,0,1
Tom Breese,KB Bhullar,4,0,2,0,0,0
Chris Daukaus,Rodrigo Nascimento,1,0,0,1,0,0
Markus Perez,Dricus Du Plessis,2,0,3,0,0,0
Ben Rothwell,Marcin Tybura,8,0,6,6,0,5
Youssef Zalal,Ilia Topuria,3,0,0,0,0,0
Tom Aspinall,Alan Baudot,1,0,0,0,0,0
Edson Barboza,Makwan Amirkhani,14,0,9,6,0,2
Impa Kasanganay,Joaquin Buckley,1,0,0,0,0,1
Giga Chikadze,Omar Morales,3,0,0,2,0,0
Ali AlQaisi,Tony Kelley,0,0,1,0,0,1
Tracy Cortez,Stephanie Egger,1,0,0,0,0,0
Bruno Silva,Tagir Ulanbekov,0,0,2,0,0,0
Carlos Condit,Court McGee,7,0,9,8,0,8
Dequan Townsend,Dusko Todorovic,0,0,3,0,0,0
Charles Jourdain,Josh Culibao,1,0,2,0,0,1
Germaine de Randamie,Julianna Pena,6,0,2,5,0,1
Kyler Phillips,Cameron Else,1,0,0,0,0,0
Holly Holm,Irene Aldana,6,0,5,5,0,3
Yorgan De Castro,Carlos Felipe,1,0,1,0,0,1
Jordan Williams,Nassourdine Imavov,0,0,0,0,0,0
Loma Lookboonmee,Jinh Yu Frey,1,0,1,0,0,1
Casey Kenney,Heili Alateng,3,0,1,2,0,0
Luigi Vendramini,Jessin Ayari,0,0,1,1,0,2
Ketlen Vieira,Sijara Eubanks,4,0,1,4,0,2
Israel Adesanya,Paulo Costa,8,0,0,5,0,0
Kai Kara-France,Brandon Royval,4,0,1,1,0,0
Shane Young,Ludovit Klein,2,0,1,0,0,0
Diego Sanchez,Jake Matthews,19,0,12,9,0,4
Brad Riddell,Alex Da Silva,2,0,0,1,0,1
Dominick Reyes,Jan Blachowicz,6,0,1,9,0,5
Hakeem Dawodu,Zubaira Tukhugov,4,0,1,4,0,2
William Knight,Aleksa Camur,0,0,0,1,0,0
Khadis Ibragimov,Danilo Marques,0,0,3,0,0,0
Juan Espino,Jeff Hughes,1,0,0,0,0,3
Johnny Walker,Ryan Spann,3,0,2,4,0,0
Mirsad Bektic,Damon Jackson,6,0,3,0,0,3
