R_fighter,B_fighter,R_wins,R_draw,R_losses,B_wins,B_draw,B_losses
Joseph Benavidez,John Moraga,8,0,2,5,0,2
Donald Cerrone,John Makdessi,14,0,3,6,0,3
Islam Makhachev,Leo Kuntz,0,0,0,0,0,0
Mike Pyle,Colby Covington,9,0,5,2,0,0
Justin Scoggins,Josh Sampo,2,0,2,1,0,2
Hyun Gyu Lim,Neil Magny,3,0,1,7,0,2
Gegard Mousasi,Constantinos Philippou,3,0,2,6,0,3
Mark Eddiva,Levan Makashvili,1,0,1,0,0,0
Tae Hyun Bang,Jon Tuck,1,0,1,2,0,2
Zhang Lipeng,Kajan Johnson,2,0,1,0,0,1
Mark Munoz,Luke Barnatt,8,0,6,3,0,2
Phillipe Nover,Yui Chul Nam,0,0,3,1,0,0
Frankie Edgar,Urijah Faber,12,0,5,8,0,3
Roldan Sangcha'an,Jon Delos Reyes,0,0,1,0,0,2
Li Jingliang,Dhiego Lima,1,0,1,1,0,2
Nolan Ticman,Yao Zhikui,0,0,1,0,0,1
Guangyou Ning,Royston Wee,1,0,0,2,0,0
Daniel Kelly,Sam Alvey,2,0,0,2,0,1
Stipe Miocic,Mark Hunt,6,0,2,5,0,4
Jake Matthews,James Vick,2,0,0,3,0,0
Anthony Perosh,Sean O'Connell,5,0,5,1,0,2
Brad Tavares,Robert Whittaker,8,0,3,4,0,2
Hatsu Hioki,Dan Hooker,3,0,4,1,0,1
Bec Rawlings,Lisa Ellis,0,0,1,0,0,1
Kyle Noke,Jonavin Webb,4,0,3,0,0,0
Dylan Andrews,Brad Scott,2,0,2,1,0,2
Alex Chambers,Kailin Curran,0,0,1,0,0,1
Alptekin Ozkilic,Ben Nguyen,1,0,2,0,0,0
Vik Grujic,Brendan O'Reilly,1,0,2,0,0,1
Demetrious Johnson,Kyoji Horiguchi,9,0,2,4,0,0
Patrick Cote,Joe Riggs,7,0,9,4,0,5
John Makdessi,Shane Campbell,5,0,3,0,0,0
Michael Bisping,CB Dollaway,15,0,7,9,0,6
Yves Jabouin,Thomas Almeida,5,0,3,1,0,0
Quinton Jackson,Fabio Maldonado,7,0,5,5,0,4
Chad Laprise,Bryan Barberena,2,0,0,1,0,0
Alexis Davis,Sarah Kaufman,3,0,1,1,0,1
Olivier Aubin-Mercier,David Michaud,1,0,1,1,0,1
Nordine Taleb,Chris Clements,2,0,0,2,0,2
Jessica Rakoczy,Valerie Letourneau,0,0,1,1,0,0
Randa Markos,Aisling Daly,0,0,1,1,0,0
Jim Miller,Beneil Dariush,13,0,5,4,0,1
Jacare Souza,Chris Camozzi,4,0,0,6,0,6
Ovince Saint Preux,Patrick Cummins,5,0,1,3,0,1
Takeya Mizugaki,Aljamain Sterling,7,0,3,2,0,0
Lyoto Machida,Luke Rockhold,14,0,5,3,0,1
Cub Swanson,Max Holloway,6,0,2,8,0,3
Corey Anderson,Gian Villante,2,0,0,2,0,2
Felice Herrig,Paige VanZant,1,0,0,1,0,0
Eddie Gordon,Chris Dempsey,1,0,1,0,0,1
George Sullivan,Tim Means,2,0,0,5,0,3
Diego Brandao,Jimy Hettes,4,0,3,3,0,2
Joanne Calderwood,Maryna Moroz,1,0,0,0,0,0
Jimi Manuwa,Jan Blachowicz,3,0,1,1,0,0
Damian Stasiak,Yaotzin Meza,0,0,0,1,0,3
Pawel Pawlak,Sheldon Westcott,0,0,1,0,0,1
Bartosz Fabinski,Garreth McLellan,0,0,0,0,0,0
Sergio Moraes,Mickael Lebout,2,0,1,0,0,0
Seth Baczynski,Leon Edwards,5,0,5,0,0,1
Gabriel Gonzaga,Mirko Filipovic,11,0,8,4,0,6
Daniel Omielanczuk,Anthony Hamilton,1,0,1,1,0,2
Izabela Badurek,Aleksandra Albu,0,0,0,0,0,0
Taylor Lapilus,Rocky Lee,0,0,0,0,0,0
Marcin Bandel,Stevie Ray,0,0,1,0,0,0
Jorge Masvidal,Al Iaquinta,5,0,1,6,0,2
Chad Mendes,Ricardo Lamas,7,0,2,6,0,1
Gray Maynard,Alexander Yakovlev,9,0,6,0,0,2
Michael Chiesa,Mitch Clarke,4,0,2,2,0,2
Clay Guida,Robert Peralta,11,0,9,4,0,3
Julianna Pena,Milana Dudieva,1,0,0,1,0,0
Dustin Poirier,Diego Ferreira,8,0,3,2,0,1
Shamil Abdurakhimov,Timothy Johnson,0,0,0,0,0,0
Liz Carmouche,Lauren Murphy,1,0,3,0,0,1
Ron Stallings,Justin Jones,0,0,1,0,0,1
Leonardo Santos,Anthony Rocco Martin,2,0,1,1,0,2
Amanda Nunes,Shayna Baszler,2,0,1,0,0,1
Godofredo Pepey,Andre Fili,3,0,3,2,0,1
Gilbert Burns,Alex Oliveira,2,0,0,0,0,0
Francisco Trinaldo,Akbarh Arreola,5,0,3,1,0,1
Demian Maia,Ryan LaFlare,13,0,6,4,0,0
Edimilson Souza,Katsunori Kikuno,2,0,0,2,0,1
Erick Silva,Josh Koscheck,5,0,4,15,0,9
Leonardo Mafra,Cain Carrizosa,0,0,2,0,0,1
Leandro Silva,Drew Dober,1,0,2,1,0,2
Jorge de Oliveira,Christos Giagos,0,0,1,0,0,1
Bentley Syler,Fredy Serrano,0,0,0,0,0,0
Elias Theodorou,Roger Narvaez,2,0,0,1,0,1
Johny Hendricks,Matt Brown,11,0,3,12,0,6
Carla Esparza,Joanna Jedrzejczyk,1,0,0,2,0,0
Ross Pearson,Sam Stout,8,0,6,9,0,9
Chris Cariaso,Henry Cejudo,7,0,4,1,0,0
Roy Nelson,Alistair Overeem,7,0,6,3,0,3
Anthony Pettis,Rafael Dos Anjos,5,0,1,12,0,5
Daron Cruickshank,Beneil Dariush,6,0,4,3,0,1
Jake Lindsey,Joe Duffy,0,0,2,0,0,0
Sergio Pettis,Ryan Benoit,3,0,1,0,0,1
Jared Rosholt,Josh Copeland,3,0,1,0,0,1
Larissa Pacheco,Germaine de Randamie,0,0,1,1,0,1
Jake Ellenberger,Josh Koscheck,8,0,5,15,0,8
Dhiego Lima,Tim Means,1,0,1,4,0,3
Mark Munoz,Roan Carneiro,8,0,5,2,0,3
Roman Salazar,Norifumi Yamamoto,0,0,1,0,0,3
Tony Ferguson,Gleison Tibau,7,0,1,16,0,8
Ronda Rousey,Cat Zingano,4,0,0,2,0,0
Raquel Pennington,Holly Holm,2,0,1,0,0,0
James Krause,Valmir Lazaro,2,0,2,0,0,1
Alan Jouban,Richard Walsh,1,0,1,1,0,1
Derrick Lewis,Ruan Potts,2,0,1,0,0,2
Masio Fullen,Alex Torres,0,0,0,0,0,0
Cezar Ferreira,Sam Alvey,4,0,1,1,0,1
Santiago Ponzinibbio,Sean Strickland,1,0,1,2,0,0
Iuri Alcantara,Frankie Saenz,6,0,3,1,0,0
Antonio Silva,Frank Mir,2,0,4,14,0,9
Rustam Khabilov,Adriano Martins,3,0,1,2,0,1
Jessica Andrade,Marion Reneau,3,0,1,1,0,0
Edson Barboza,Michael Johnson,9,0,2,7,0,4
William Macario,Matt Dwyer,1,0,2,0,0,1
Tiago dos Santos e Silva,Mike de la Torre,1,0,0,0,0,2
Douglas Silva de Andrade,Cody Gibson,0,0,1,1,0,2
Ivan Jorge,Josh Shockley,1,0,1,0,0,1
Michel Prazeres,Kevin Lee,2,0,1,2,0,1
Efrain Escudero,Rodrigo de Lima,3,0,5,0,0,1
Benson Henderson,Brandon Thatch,9,0,3,2,0,0
Ray Borg,Chris Kelades,1,0,1,1,0,0
Chas Skelly,Jim Alers,2,0,1,1,0,0
Neil Magny,Kiichi Kunimoto,6,0,2,3,0,0
Daniel Kelly,Patrick Walsh,1,0,0,1,0,0
Max Holloway,Cole Miller,7,0,3,10,0,6
James Moontasri,Cody Pfister,0,0,1,0,0,0
Zach Makovsky,Tim Elliott,2,0,1,2,0,3
Ed Herman,Derek Brunson,9,0,7,3,0,1
Joe Lauzon,Al Iaquinta,11,0,6,5,0,2
Jordan Mein,Thiago Alves,3,0,1,12,0,6
Tyron Woodley,Kelvin Gastelum,4,0,2,5,0,0
Ian McCall,John Lineker,2,0,3,5,0,2
Anderson Silva,Nick Diaz,16,0,2,7,0,6
Thales Leites,Tim Boetsch,9,0,3,9,0,6
Miesha Tate,Sara McMann,2,0,2,2,0,1
Rafael Natal,Tom Watson,6,0,5,2,0,3
Thiago Santos,Andy Enz,1,0,2,0,0,2
Richardson Moreira,Ildemar Alcantara,0,0,1,3,0,2
Kenny Robertson,Sultan Aliev,3,0,3,0,0,0
Alexander Gustafsson,Anthony Johnson,8,0,2,9,0,4
Andy Ogle,Makwan Amirkhani,1,0,4,0,0,0
Akira Corassani,Sam Sicilia,3,0,2,3,0,4
Dan Henderson,Gegard Mousasi,7,0,6,2,0,2
Phil Davis,Ryan Bader,9,0,3,11,0,4
Nicholas Musoke,Albert Tumenov,3,0,1,2,0,1
Nikita Krylov,Stanislav Nedkov,2,0,2,1,0,2
Mairbek Taisumov,Anthony Christodoulou,2,0,1,0,0,0
Mirsad Bektic,Paul Redmond,1,0,0,0,0,0
Neil Seery,Chris Beal,1,0,1,2,0,0
Viktor Pesta,Konstantin Erokhin,0,0,1,0,0,0
Zhang Lipeng,Chris Wade,2,0,0,1,0,0
Norman Parke,Gleison Tibau,4,0,1,15,0,8
Conor McGregor,Dennis Siver,4,0,0,11,0,7
Donald Cerrone,Benson Henderson,13,0,3,9,0,2
John Howard,Lorenz Larkin,6,0,5,1,0,4
Paddy Holohan,Shane Howell,1,0,1,0,0,1
Uriah Hall,Ron Stallings,2,0,2,0,0,0
Cathal Pendred,Sean Spencer,2,0,0,3,0,2
Johnny Case,Frankie Perez,1,0,0,0,0,0
Charles Rosa,Sean Soriano,0,0,1,0,0,2
Matt Van Buren,Sean O'Connell,0,0,1,0,0,2
Tateki Matsuda,Joby Sanchez,0,0,1,0,0,1
Donald Cerrone,Myles Jury,12,0,3,6,0,0
Shawn Jordan,Jared Cannonier,4,0,3,0,0,0
Brad Tavares,Nate Marquardt,7,0,3,11,0,6
Hector Lombard,Joshua Burkman,3,0,2,5,0,5
Marcus Brimage,Cody Garbrandt,4,0,2,0,0,0
Jon Jones,Daniel Cormier,14,0,1,4,0,0
Kyoji Horiguchi,Louis Gaudinot,3,0,0,1,0,3
Danny Castillo,Paul Felder,7,0,4,1,0,0
Omari Akhmedov,Mats Nilsson,1,0,1,0,0,1
Alexis Dufresne,Marion Reneau,0,0,1,0,0,0
Evan Dunham,Rodrigo Damm,7,0,6,3,0,3
Erick Silva,Mike Rhodes,4,0,4,0,0,2
Lyoto Machida,CB Dollaway,13,0,5,9,0,5
Antonio Carlos Junior,Patrick Cummins,1,0,0,2,0,1
Renan Barao,Mitch Gagnon,7,0,1,4,0,1
Tom Niinimaki,Renato Moicano,1,0,2,0,0,0
Daniel Sarafian,Antonio Dos Santos,1,0,3,0,0,0
Marcos Rogerio de Lima,Igor Pokrajac,1,0,0,4,0,7
Elias Silverio,Rashid Magomedov,3,0,0,2,0,0
Vitor Miranda,Jake Collier,0,0,1,0,0,0
Leandro Issa,Yuta Sasaki,1,0,1,1,0,0
Marcio Alexandre Junior,Tim Means,0,0,1,3,0,3
Darren Elkins,Hacran Dias,8,0,3,1,0,2
Gabriel Gonzaga,Matt Mitrione,11,0,7,8,0,3
Joe Riggs,Ben Saunders,4,0,4,5,0,3
John Moraga,Willie Gates,4,0,2,0,0,0
Rafael Dos Anjos,Nate Diaz,11,0,5,12,0,7
Alistair Overeem,Stefan Struve,2,0,3,9,0,4
Claudia Gadelha,Joanna Jedrzejczyk,1,0,0,1,0,0
Jamie Varner,Drew Dober,3,0,5,0,0,2
Junior Dos Santos,Stipe Miocic,10,0,2,6,0,1
David Michaud,Garett Whiteley,0,0,1,0,0,2
Joe Ellenberger,Bryan Barberena,1,0,0,0,0,0
Anthony Birchak,Ian Entwistle,0,0,0,0,0,1
Henry Cejudo,Dustin Kimura,0,0,0,2,0,2
KJ Noons,Daron Cruickshank,2,0,1,6,0,3
Felice Herrig,Lisa Ellis,0,0,0,0,0,0
Joe Proctor,Yancy Medeiros,3,0,1,1,0,3
Jeremy Stephens,Charles Oliveira,10,0,9,6,0,5
Jessica Penne,Randa Markos,0,0,0,0,0,0
Carla Esparza,Rose Namajunas,0,0,0,0,0,0
Bec Rawlings,Heather Clark,0,0,0,0,0,0
Joanne Calderwood,Seo Hee Ham,0,0,0,0,0,0
Aisling Daly,Alex Chambers,0,0,0,0,0,0
Tecia Torres,Angela Magana,0,0,0,0,0,0
Emily Kagan,Angela Hill,0,0,0,0,0,0
Corey Anderson,Justin Jones,1,0,0,0,0,0
Todd Duffee,Anthony Hamilton,2,0,1,1,0,1
Tony Ferguson,Abel Trujillo,6,0,1,3,0,2
Anthony Pettis,Gilbert Melendez,4,0,1,1,0,1
Eddie Gordon,Josh Samman,1,0,0,1,0,0
Travis Browne,Brendan Schaub,7,0,3,6,0,4
Urijah Faber,Francisco Rivera,7,0,3,3,0,3
Johny Hendricks,Robbie Lawler,11,0,2,9,0,4
Raquel Pennington,Ashlee Evans-Smith,1,0,1,0,0,0
Sergio Pettis,Matt Hobar,2,0,1,1,0,1
Alex White,Clay Collard,1,0,1,0,0,1
Luke Barnatt,Roger Narvaez,3,0,1,0,0,1
Frankie Edgar,Cub Swanson,11,0,5,6,0,1
Jared Rosholt,Aleksei Oleinik,3,0,0,1,0,0
Ruslan Magomedov,Josh Copeland,1,0,0,0,0,0
Joseph Benavidez,Dustin Ortiz,7,0,2,3,0,1
Brad Pickett,Chico Camus,4,0,4,2,0,3
Bobby Green,Edson Barboza,4,0,0,8,0,2
Matt Wiman,Isaac Vallie-Flagg,9,0,5,1,0,2
James Vick,Nick Hein,2,0,0,1,0,0
Paige VanZant,Kailin Curran,0,0,0,0,0,0
Yves Edwards,Akbarh Arreola,10,0,10,0,0,1
Juan Manuel Puig,Dooho Choi,0,0,1,0,0,0
Fabricio Werdum,Mark Hunt,6,0,2,5,0,3
Ricardo Lamas,Dennis Bermudez,5,0,1,7,0,1
Jessica Eye,Leslie Smith,0,0,2,1,0,1
Alejandro Perez,Jose Quinonez,0,0,0,0,0,0
Augusto Montano,Chris Heatherly,0,0,0,0,0,1
Yair Rodriguez,Leonardo Morales,0,0,0,0,0,0
Jake Ellenberger,Kelvin Gastelum,8,0,4,4,0,0
Edgar Garcia,Hector Urbina,0,0,2,0,0,0
Henry Briones,Guido Cannetti,0,0,0,0,0,0
Gabriel Benitez,Humberto Brown Morrison,0,0,0,0,0,0
Marco Beltran,Marlon Vera,0,0,0,0,0,0
Leandro Silva,Charlie Brenneman,0,0,2,4,0,6
Claudio Silva,Leon Edwards,1,0,0,0,0,0
Caio Magalhaes,Trevor Smith,3,0,1,2,0,2
Dhiego Lima,Jorge de Oliveira,0,0,1,0,0,0
Warlley Alves,Alan Jouban,1,0,0,1,0,0
Mauricio Rua,Ovince Saint Preux,6,0,7,4,0,1
Juliana Lima,Nina Ansaroff,0,0,1,0,0,0
Diego Rivas,Rodolfo Rubio Perez,0,0,0,0,0,0
Thomas Almeida,Tim Gorman,0,0,0,0,0,1
Wagner Silva,Colby Covington,0,0,1,1,0,0
Luke Rockhold,Michael Bisping,2,0,1,15,0,6
Robert Whittaker,Clint Hester,3,0,2,4,0,0
Richie Vaculik,Louis Smolka,1,0,1,1,0,1
Jake Matthews,Vagner Rocha,1,0,0,1,0,2
Soa Palelei,Walt Harris,3,0,2,0,0,2
Anthony Perosh,Guto Inocente,4,0,5,0,0,1
Dylan Andrews,Sam Alvey,2,0,1,0,0,1
Ross Pearson,Al Iaquinta,8,0,5,4,0,2
Jumabieke Tuerxun,Marcus Brimage,0,0,2,3,0,2
Vik Grujic,Chris Clements,1,0,1,1,0,2
Luke Zachrich,Daniel Kelly,1,0,1,0,0,0
William Macario,Neil Magny,1,0,1,5,0,2
Diego Ferreira,Beneil Dariush,2,0,0,2,0,1
Darren Elkins,Lucas Martins,7,0,3,3,0,1
Glover Teixeira,Phil Davis,5,0,1,8,0,3
Yan Cabral,Naoyuki Kotani,1,0,1,0,0,3
Scott Jorgensen,Wilson Reis,4,0,5,2,0,1
Fabio Maldonado,Hans Stringer,4,0,4,1,0,0
Jose Aldo,Chad Mendes,6,0,0,7,0,1
Fabricio Camoes,Anthony Rocco Martin,1,0,4,0,0,2
Gilbert Burns,Christos Giagos,1,0,0,0,0,0
Felipe Arantes,Andre Fili,3,0,3,1,0,1
Mitch Gagnon,Roman Salazar,3,0,1,0,0,0
Olivier Aubin-Mercier,Jake Lindsey,0,0,1,0,0,1
Nordine Taleb,Li Jingliang,1,0,0,1,0,0
Rory MacDonald,Tarec Saffiedine,8,0,2,1,0,0
Chad Laprise,Yosdenis Cedeno,1,0,0,1,0,1
Raphael Assuncao,Bryan Caraway,6,0,1,4,0,1
Daron Cruickshank,Anthony Njokuani,5,0,3,3,0,4
Elias Theodorou,Bruno Santos,1,0,0,1,0,1
Paddy Holohan,Chris Kelades,1,0,0,0,0,0
Jason Saggo,Paul Felder,1,0,0,0,0,0
Albert Tumenov,Matt Dwyer,1,0,1,0,0,0
Pedro Munhoz,Jerrod Sanders,1,0,1,0,0,1
Nicholas Musoke,Alexander Yakovlev,2,0,1,0,0,1
Cathal Pendred,Gasan Umalatov,1,0,0,1,0,1
Akira Corassani,Max Holloway,3,0,1,6,0,3
Dennis Siver,Charles Rosa,10,0,7,0,0,0
Gunnar Nelson,Rick Story,4,0,0,10,0,6
Magnus Cedenblad,Scott Askham,2,0,1,0,0,0
Niklas Backstrom,Mike Wilkinson,1,0,0,1,0,1
Ilir Latifi,Jan Blachowicz,2,0,1,0,0,0
Tor Troeng,Krzysztof Jotko,1,0,2,1,0,1
Mairbek Taisumov,Marcin Bandel,1,0,1,0,0,0
Zubaira Tukhugov,Ernest Chavez,1,0,0,1,0,1
Dustin Poirier,Conor McGregor,8,0,2,3,0,0
Cat Zingano,Amanda Nunes,1,0,0,2,0,0
Jorge Masvidal,James Krause,4,0,1,2,0,1
Donald Cerrone,Eddie Alvarez,11,0,3,0,0,0
Tim Kennedy,Yoel Romero,3,0,0,4,0,0
Demetrious Johnson,Chris Cariaso,8,0,2,7,0,3
Dominick Cruz,Takeya Mizugaki,2,0,0,7,0,2
Patrick Cote,Stephen Thompson,7,0,8,4,0,1
Manvel Gamburyan,Cody Gibson,4,0,7,1,0,1
John Howard,Brian Ebersole,6,0,4,4,0,2
Jon Tuck,Kevin Lee,2,0,1,1,0,1
Kiichi Kunimoto,Richard Walsh,2,0,0,1,0,0
Miesha Tate,Rin Nakai,1,0,2,0,0,0
Katsunori Kikuno,Sam Sicilia,1,0,1,3,0,3
Mark Hunt,Roy Nelson,4,0,3,7,0,5
Yoshihiro Akiyama,Amir Sadollah,1,0,4,6,0,4
Alex Caceres,Masanori Kanehara,5,0,5,0,0,0
Myles Jury,Takanori Gomi,5,0,0,4,0,4
Kyoji Horiguchi,Jon Delos Reyes,2,0,0,0,0,1
Michinori Tanaka,Kyung Ho Kang,1,0,0,1,0,2
Hyun Gyu Lim,Takenori Sato,2,0,1,0,0,1
Kazuki Tokudome,Johnny Case,1,0,2,0,0,0
Maximo Blanco,Dan Hooker,2,0,3,1,0,0
Antonio Silva,Andrei Arlovski,2,0,3,11,0,4
Iuri Alcantara,Russell Doane,5,0,3,2,0,0
Santiago Ponzinibbio,Wendell Oliveira Marques,0,0,1,0,0,0
Jessica Andrade,Larissa Pacheco,2,0,1,0,0,0
Gleison Tibau,Piotr Hallmann,14,0,8,2,0,1
Leonardo Santos,Efrain Escudero,1,0,1,3,0,4
Igor Araujo,George Sullivan,2,0,0,1,0,0
Godofredo Pepey,Dashon Johnson,2,0,3,0,0,1
Paulo Thiago,Sean Spencer,5,0,7,2,0,2
Francisco Trinaldo,Leandro Silva,4,0,3,0,0,1
Rani Yahya,Johnny Bedford,4,0,3,2,0,3
Chris Beal,Tateki Matsuda,1,0,0,0,0,0
Joe Lauzon,Michael Chiesa,10,0,6,4,0,1
Jacare Souza,Gegard Mousasi,3,0,0,2,0,1
Rafael Natal,Chris Camozzi,5,0,5,6,0,5
Matt Mitrione,Derrick Lewis,7,0,3,2,0,0
John Moraga,Justin Scoggins,3,0,2,2,0,1
Al Iaquinta,Rodrigo Damm,3,0,2,3,0,2
Alistair Overeem,Ben Rothwell,2,0,2,3,0,3
Sean Soriano,Chas Skelly,0,0,1,1,0,1
Chris Wade,Cain Carrizosa,0,0,0,0,0,0
Lorenz Larkin,Derek Brunson,1,0,3,2,0,1
Bethe Correia,Shayna Baszler,2,0,0,0,0,0
Ruan Potts,Anthony Hamilton,0,0,1,0,0,1
Ramsey Nijem,Diego Ferreira,5,0,3,1,0,0
TJ Dillashaw,Joe Soto,6,0,2,0,0,0
Yancy Medeiros,Damon Jackson,0,0,3,0,0,0
Tony Ferguson,Danny Castillo,5,0,1,7,0,3
Max Holloway,Clay Collard,5,0,3,0,0,0
Francis Carmont,Thales Leites,6,0,2,8,0,3
Mike Pyle,Jordan Mein,9,0,4,2,0,1
Chas Skelly,Tom Niinimaki,0,0,1,1,0,1
James Vick,Valmir Lazaro,1,0,0,0,0,0
Neil Magny,Alex Garcia,4,0,2,2,0,0
Beneil Dariush,Anthony Rocco Martin,1,0,1,0,0,1
Benson Henderson,Rafael Dos Anjos,9,0,1,10,0,5
Aaron Phillips,Matt Hobar,0,0,1,0,0,1
Ben Saunders,Chris Heatherly,4,0,3,0,0,0
Wilson Reis,Joby Sanchez,1,0,1,0,0,0
Roland Delorme,Yuta Sasaki,3,0,3,0,0,0
Anying Wang,Colby Covington,1,0,0,0,0,0
Tyron Woodley,Dong Hyun Kim,3,0,2,10,0,3
Zhang Lipeng,Brendan O'Reilly,1,0,0,0,0,0
Michael Bisping,Cung Le,14,0,6,2,0,1
Sai Wang,Danny Mitchell,0,0,1,0,0,1
Guangyou Ning,Jianping Yang,0,0,0,0,0,0
Alberto Mina,Shinsho Anzai,0,0,0,0,0,0
Yao Zhikui,Royston Wee,0,0,0,1,0,0
Elizabeth Phillips,Milana Dudieva,0,0,1,0,0,0
Gray Maynard,Ross Pearson,9,0,5,7,0,5
Shawn Jordan,Jack May,3,0,3,0,0,1
Thiago Tavares,Robert Peralta,8,0,6,4,0,2
Sara McMann,Lauren Murphy,1,0,1,0,0,0
Tim Boetsch,Brad Tavares,8,0,6,7,0,2
Jussier Formiga,Zach Makovsky,2,0,2,2,0,0
Ryan Bader,Ovince Saint Preux,10,0,4,4,0,0
Seth Baczynski,Alan Jouban,5,0,4,0,0,0
Tom Watson,Sam Alvey,1,0,3,0,0,0
Nolan Ticman,Frankie Saenz,0,0,0,0,0,0
Clay Guida,Dennis Bermudez,11,0,8,6,0,1
Mike de la Torre,Brian Ortega,0,0,1,0,0,0
Robbie Lawler,Matt Brown,8,0,4,12,0,5
Anthony Johnson,Rogerio Nogueira,8,0,4,4,0,2
Hernani Perpetuo,Tim Means,0,0,1,2,0,3
Josh Thomson,Bobby Green,3,0,2,3,0,0
Daron Cruickshank,Jorge Masvidal,5,0,2,3,0,1
Kyle Kingsbury,Patrick Cummins,4,0,4,1,0,1
Akbarh Arreola,Tiago dos Santos e Silva,0,0,0,0,0,0
Andreas Stahl,Gilbert Burns,0,0,0,0,0,0
Juliana Lima,Joanna Jedrzejczyk,0,0,0,0,0,0
Steven Siler,Noad Lahat,5,0,3,0,0,1
Gunnar Nelson,Zak Cummings,3,0,0,2,0,0
Ilir Latifi,Chris Dempsey,1,0,1,0,0,0
Tor Troeng,Trevor Smith,1,0,1,1,0,2
Norman Parke,Naoyuki Kotani,3,0,1,0,0,2
Conor McGregor,Diego Brandao,2,0,0,4,0,2
Neil Seery,Phil Harris,0,0,1,1,0,3
Brad Pickett,Ian McCall,4,0,3,1,0,3
Cathal Pendred,Mike King,0,0,0,0,0,0
Cody Donovan,Nikita Krylov,1,0,2,1,0,2
Paddy Holohan,Josh Sampo,0,0,0,1,0,1
Lucas Martins,Alex White,2,0,1,1,0,0
Rick Story,Leonardo Mafra,9,0,6,0,0,1
Jessamyn Duke,Leslie Smith,1,0,1,0,0,1
Donald Cerrone,Jim Miller,10,0,3,13,0,4
Edson Barboza,Evan Dunham,7,0,2,7,0,5
John Lineker,Alptekin Ozkilic,4,0,2,1,0,1
Gleison Tibau,Pat Healy,13,0,8,0,0,5
Justin Salas,Joe Proctor,3,0,2,2,0,1
Yosdenis Cedeno,Jerrod Sanders,0,0,1,0,0,0
Hugo Viana,Aljamain Sterling,3,0,1,1,0,0
Claudia Gadelha,Tina Lahdemaki,0,0,0,0,0,0
Dhiego Lima,Eddie Gordon,0,0,0,0,0,0
Justin Scoggins,Dustin Ortiz,2,0,0,2,0,1
Adriano Martins,Juan Manuel Puig,1,0,1,0,0,0
Jumabieke Tuerxun,Leandro Issa,0,0,1,0,0,1
Jesse Ronson,Kevin Lee,0,0,2,0,0,1
Derrick Lewis,Guto Inocente,1,0,0,0,0,0
Corey Anderson,Matt Van Buren,0,0,0,0,0,0
Frankie Edgar,BJ Penn,10,0,5,12,0,10
Patrick Walsh,Daniel Spohn,0,0,0,0,0,0
Robert Drysdale,Keith Berish,0,0,0,0,0,0
Sarah Moras,Alexis Dufresne,0,0,0,0,0,0
Chris Camozzi,Bruno Santos,6,0,4,0,0,1
Marcus Brimage,Russell Doane,3,0,1,1,0,0
Urijah Faber,Alex Caceres,6,0,3,5,0,4
George Roop,Rob Font,5,0,6,0,0,0
Uriah Hall,Thiago Santos,1,0,2,1,0,1
Chris Weidman,Lyoto Machida,7,0,0,13,0,4
Ronda Rousey,Alexis Davis,3,0,0,3,0,0
Kenny Robertson,Ildemar Alcantara,2,0,3,3,0,1
Luke Zachrich,Guilherme Vasconcelos,0,0,1,0,0,0
Kevin Casey,Bubba Bush,0,0,1,0,0,0
Colton Smith,Diego Ferreira,1,0,2,0,0,0
Johnny Bedford,Cody Gibson,2,0,2,0,0,1
Cub Swanson,Jeremy Stephens,5,0,1,10,0,8
Joe Ellenberger,James Moontasri,0,0,0,0,0,0
Cezar Ferreira,Andrew Craig,3,0,1,3,0,2
Ricardo Lamas,Hacran Dias,4,0,1,1,0,1
Kelvin Gastelum,Nicholas Musoke,3,0,0,2,0,0
Aleksei Oleinik,Anthony Hamilton,0,0,0,0,0,0
Marcelo Guimaraes,Andy Enz,1,0,1,0,0,1
Ray Borg,Shane Howell,0,0,1,0,0,0
Clint Hester,Antonio Braga Neto,3,0,0,1,0,0
Jake Matthews,Dashon Johnson,0,0,0,0,0,0
Neil Magny,Rodrigo de Lima,3,0,2,0,0,0
Soa Palelei,Jared Rosholt,3,0,1,2,0,0
Richie Vaculik,Roldan Sangcha'an,0,0,1,0,0,0
James Te Huna,Nate Marquardt,5,0,3,10,0,6
Hatsu Hioki,Charles Oliveira,3,0,3,5,0,5
Chris Indich,Vik Grujic,0,0,1,0,0,1
Robert Whittaker,Mike Rhodes,2,0,2,0,0,1
Dan Hooker,Ian Entwistle,0,0,0,0,0,0
Gian Villante,Sean O'Connell,1,0,2,0,0,1
Rory MacDonald,Tyron Woodley,7,0,2,3,0,1
Demetrious Johnson,Ali Bagautinov,7,0,2,3,0,0
Ryan Bader,Rafael Cavalcante,9,0,4,1,0,1
Andrei Arlovski,Brendan Schaub,10,0,4,6,0,3
Ovince Saint Preux,Ryan Jimmo,3,0,0,3,0,2
Valerie Letourneau,Elizabeth Phillips,0,0,0,0,0,0
Yves Jabouin,Mike Easton,4,0,3,3,0,3
Daniel Sarafian,Kiichi Kunimoto,1,0,2,1,0,0
Roland Delorme,Michinori Tanaka,3,0,2,0,0,0
Jason Saggo,Josh Shockley,0,0,0,0,0,0
Kajan Johnson,Tae Hyun Bang,0,0,0,0,0,1
John Dodson,John Moraga,4,0,1,3,0,1
Benson Henderson,Rustam Khabilov,8,0,1,3,0,0
